canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,gross_tvpi,tvpi,gross_dpi,dpi,gross_irr,net_irr,irr_meaningful,performance_note,data_source_type
Founders Fund,Founders Fund,Founders Fund II (FFII),2007,Venture,Multi-Stage VC,227,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"Palantir, SpaceX, Airbnb, Stripe, Lyft",Founders Fund Firm Disclosure,2024-Q3,,,18.6,18.6,,0.31,TRUE,"FFII: $227M 2007 vintage. DPI 18.6x — extraordinary. One of highest DPI figures in any public VC dataset.",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund III (FFIII),2010,Venture,Multi-Stage VC,250,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Stripe, Lyft, Palantir, Stemcentrx",Founders Fund Firm Disclosure,2024-Q3,,,9.9,6.0,,0.25,TRUE,"FFIII: $250M 2010. TVPI 9.9x, DPI 6.0x — still meaningful unrealized value (SpaceX). Strong realization.",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund IV (FFIV),2011,Venture,Multi-Stage VC,625,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Airbnb, Stripe, Oscar Health",Founders Fund Firm Disclosure,2024-Q3,,,10.2,6.2,,0.33,TRUE,"FFIV: $625M 2011. DPI 6.2x — strong cash returned. Gross TVPI 10.2x shows large unrealized (SpaceX).",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund V (FFV),2014,Venture,Multi-Stage VC,1100,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Lyft, Airbnb, Nubank, Stemcentrx",Founders Fund Firm Disclosure,2024-Q3,,,4.0,2.9,,0.27,TRUE,"FFV: $1.1B 2014. DPI 2.9x — good realization at scale. TVPI 4.0x suggests remaining upside.",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund VI (FFVI),2017,Venture,Multi-Stage VC,1400,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Stripe, Anduril, Asana, Convoy",Founders Fund Firm Disclosure,2024-Q3,,,3.1,0.03,,0.24,TRUE,"FFVI: $1.4B 2017. TVPI 3.1x but DPI near-zero (0.03x). Classic DPI drought for 2017 vintage — paper gains.",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund VII (FFVII),2020,Venture,Multi-Stage VC,1500,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Anduril, Stripe",Founders Fund Firm Disclosure,2024-Q3,,,1.5,,,,FALSE,"FFVII: $1.5B 2020. TVPI 1.5x, no DPI data. Too early for meaningful IRR. Net IRR from GP source flagged unreliable (early).",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund VIII (FFVIII),2023,Venture,Multi-Stage VC,979,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Anduril",Founders Fund Firm Disclosure,2024-Q3,,,1.3,,,,FALSE,"FFVIII: $979M 2023. TVPI 1.3x after ~1 year. Far too early for meaningful analysis.",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund Growth I,2020,Growth,Growth Equity,1700,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Growth (Series C–F),,Founders Fund Firm Disclosure,2024-Q3,,,1.2,,,,FALSE,"FF Growth I: $1.7B 2020 growth vehicle. TVPI 1.2x — too early.",GP-Disclosed
Founders Fund,Founders Fund,Founders Fund Growth II,2023,Growth,Growth Equity,3400,Confirmed,16.0,2005,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Growth (Series C–F),,Founders Fund Firm Disclosure,2024-Q3,,,1.0,,,,FALSE,"FF Growth II: $3.4B 2023. TVPI 1.0x — essentially first call. No performance data available.",GP-Disclosed
Social Capital,Social Capital,Social Capital Fund I,2011,Venture,Multi-Stage VC,1043,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare | Crypto,Multi-Stage,"Slack, Box, Survey Monkey, Intercom, Wealthfront",Social Capital Firm Disclosure,2024-Q4,3.9,2.8,2.7,2.1,0.208,0.144,TRUE,"Fund I: $1,043M 2011. Net DPI 2.1x, Net TVPI 2.8x. Cambridge Associates Quartile 1 TVPI, Quartile 2 DPI. Solid realization.",GP-Disclosed
Social Capital,Social Capital,Social Capital Fund II,2013,Venture,Multi-Stage VC,1475,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare | Crypto,Multi-Stage,"Slack, Intercom, Credit Karma, Brex",Social Capital Firm Disclosure,2024-Q4,5.9,3.9,4.5,3.4,0.349,0.262,TRUE,"Fund II: $1,475M 2013. Net DPI 3.4x — outstanding realization. CA Quartile 1 on both TVPI and DPI. Best fund in SC portfolio.",GP-Disclosed
Social Capital,Social Capital,Social Capital Fund III,2015,Venture,Multi-Stage VC,1447,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare | Crypto,Multi-Stage,"Slack, Zendesk, Opendoor, Symphony",Social Capital Firm Disclosure,2024-Q4,2.6,2.1,1.3,1.2,0.213,0.144,TRUE,"Fund III: $1,447M 2015. Net DPI 1.2x — partial realization. CA Quartile 1 on both metrics.",GP-Disclosed
Social Capital,Social Capital,Social Capital Opportunities I,2015,Growth,Opportunities,253,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare,Late Stage / Crossover,,Social Capital Firm Disclosure,2024-Q4,2.5,2.3,2.1,1.9,0.197,0.173,TRUE,"Opps I: $253M 2015 crossover vehicle. Net DPI 1.9x — strong realization for opportunities strategy. CA Quartile 1 DPI.",GP-Disclosed
Social Capital,Social Capital,Social Capital Opportunities II,2018,Growth,Opportunities,56,Confirmed,3.5,2011,Palo Alto CA,Enterprise SaaS | Consumer | Fintech | Healthcare,Late Stage / Crossover,,Social Capital Firm Disclosure,2024-Q4,2.4,1.8,1.4,1.4,0.194,0.123,TRUE,"Opps II: $56M 2018 crossover vehicle. Net DPI 1.4x at 6 years — meaningful realization. CA Quartile 1 DPI.",GP-Disclosed
