canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,tvpi,dpi,net_irr,irr_meaningful,performance_note,gross_tvpi,gross_dpi,data_source_type,vintage_source
Austin Ventures,Austin Ventures,Austin Ventures IV-A L.P.,,Venture,US VC - Texas,5.008592,Derived from UTIMCO capital_contributed,4.0,1979.0,"Austin, TX",Texas growth/venture,Early Stage,Texas-focused venture history,UTIMCO,2023-02-28,8.4044,8.4,0.7314,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
Austin Ventures,Austin Ventures,Austin Ventures V L.P.,1999.0,Venture,US VC - Texas,15.002,Derived from UTIMCO capital_contributed,4.0,1979.0,"Austin, TX",Texas growth/venture,Early Stage,Texas-focused venture history,UTIMCO,2023-02-28,1.9755,1.98,0.3188,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Austin Ventures,Austin Ventures,Austin Ventures VI L.P.,2001.0,Venture,US VC - Texas,21.16485,Derived from UTIMCO capital_contributed,4.0,1979.0,"Austin, TX",Texas growth/venture,Early Stage,Texas-focused venture history,UTIMCO,2023-02-28,0.6317,0.63,-0.0789,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Austin Ventures,Austin Ventures,Austin Ventures VII L.P.,2004.0,Venture,US VC - Texas,20.0,Derived from UTIMCO capital_contributed,4.0,1979.0,"Austin, TX",Texas growth/venture,Early Stage,Texas-focused venture history,UTIMCO,2023-02-28,0.8072,0.81,-0.0281,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Austin Ventures,Austin Ventures,Austin Ventures VIII L.P.,2007.0,Venture,US VC - Texas,17.2101,Derived from UTIMCO capital_contributed,4.0,1979.0,"Austin, TX",Texas growth/venture,Early Stage,Texas-focused venture history,UTIMCO,2023-02-28,1.6309,1.63,0.0684,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Austin Ventures,Austin Ventures,Austin Ventures X L.P.,2012.0,Venture,US VC - Texas,25.47262,Derived from UTIMCO capital_contributed,4.0,1979.0,"Austin, TX",Texas growth/venture,Early Stage,Texas-focused venture history,UTIMCO,2023-02-28,1.873,1.79,0.1136,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
B Capital,B Capital,"B Capital Ascent Fund III, L.P.",2024.0,Venture,Early VC,250.0,Estimated,6.5,2015.0,Singapore / LA,Enterprise SaaS | Fintech | Deep Tech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
B Capital,B Capital,"B Capital Global Growth III, L.P.",2023.0,Growth,Growth Equity,600.0,Estimated,6.5,2015.0,Singapore / LA,Enterprise SaaS | Fintech | Health | Climate,Growth (Series C–F),"Jungle, Nuvei, Lightcast",CalPERS,unknown,1.0,0.05,,False,Too early — 2023 vintage. DPI minimal. IRR not yet meaningful.,,,LP-Disclosed,unknown
B Capital,B Capital,"B Capital Opportunities Fund II, L.P.",2024.0,Growth,Opportunities,500.0,Estimated,6.5,2015.0,Singapore / LA,Enterprise SaaS | AI | Fintech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Balderton,Balderton Capital,"Balderton Capital Growth II, S.L.P.",2024.0,Growth,Growth Equity,500.0,Estimated,4.0,2000.0,London UK,European tech | Consumer | Fintech | SaaS,Growth (Series C–F),"Revolut, Aircall, Cleo",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Balderton,Balderton Capital,"Balderton Capital IX, S.L.P.",2024.0,Venture,Early VC,600.0,Estimated,4.0,2000.0,London UK,European tech | Consumer | Fintech | SaaS,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Base10,Base10 Partners,"Base10 Partners III, L.P.",2022.0,Venture,Early VC,500.0,Estimated,1.5,2018.0,San Francisco CA,Automation | Future of Work | Fintech | Healthcare,Early (Seed–Series B),"Figma, Lyra Health, Addi",CalPERS,unknown,1.0,0.0,0.0041,False,Very early — 2022 vintage with near-zero IRR. Performance not yet meaningful.,,,LP-Disclosed,unknown
Base10,Base10 Partners,"Base10 Series B I, L.P.",2023.0,Venture,Early VC,150.0,Estimated,1.5,2018.0,San Francisco CA,Automation | Fintech | Healthcare,Series B specialist,,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Bessemer,Bessemer Venture Partners,BVP Forge Institutional L.P.,2023.0,Growth,Growth Equity,3500.0,Estimated,20.0,1911.0,Redwood City CA,Enterprise | Consumer | Cloud | Fintech,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Bessemer,Bessemer Venture Partners,Bessemer Venture Partners XII Institutional L.P.,2024.0,Venture,Multi-Stage VC,3500.0,Estimated,20.0,1911.0,Redwood City CA,Enterprise | Consumer | Cloud | Fintech | Healthcare,Multi-Stage,"LinkedIn, Shopify, Twilio, Wiz",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Canaan,Canaan Partners,Canaan Gold Coast L.P.,2023.0,Venture,Early VC,100.0,Estimated,5.0,1987.0,Menlo Park CA,Healthcare | Fintech | Enterprise Tech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. Specialty/sidecar vehicle.,,,LP-Disclosed,unknown
Canaan,Canaan Partners,Canaan XIII Healthcare Fund L.P.,2024.0,Venture,Early VC,200.0,Estimated,5.0,1987.0,Menlo Park CA,Healthcare (dedicated),Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Healthcare-dedicated vehicle.,,,LP-Disclosed,unknown
Canaan,Canaan Partners,Canaan XIII L.P.,2024.0,Venture,Multi-Stage VC,700.0,Estimated,5.0,1987.0,Menlo Park CA,Healthcare | Fintech | Enterprise Tech,Multi-Stage,"Lending Club, Demostack",CalPERS,unknown,1.0,0.01,,False,Too early — 2024 vintage. No meaningful performance data yet.,,,LP-Disclosed,unknown
Cendana Capital,Cendana Capital,Cendana Longhorns L.P.,,Opportunities,Fund of Funds,240.7904,Derived from UTIMCO capital_contributed,2.0,2010.0,"New York, NY",Fund of funds,Early Stage,Venture fund investing,UTIMCO,2023-02-28,2.7232,0.67,0.2839,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
Correlation Ventures,Correlation Ventures,Correlation Ventures Executives Fund L.P.,,Venture,US VC - Quantitative,10.125,Derived from UTIMCO capital_contributed,0.3,2012.0,"San Diego, CA",Data-driven VC co-invest,Early Stage,Quantitative co-investment,UTIMCO,2023-02-28,1.4121,1.03,0.0498,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
Correlation Ventures,Correlation Ventures,Correlation Ventures L.P.,,Venture,US VC - Quantitative,10.125,Derived from UTIMCO capital_contributed,0.3,2012.0,"San Diego, CA",Data-driven VC co-invest,Early Stage,Quantitative co-investment,UTIMCO,2023-02-28,1.3711,1.03,0.0459,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
Forerunner Ventures,Forerunner Ventures,Forerunner Builders I L.P.,2020.0,Venture,US VC - Consumer,14.364,Derived from UTIMCO capital_contributed,2.0,2012.0,"San Francisco, CA",Early stage VC — consumer,Early Stage,"Dollar Shave Club, Warby Parker, Away, Chime",UTIMCO,2023-02-28,4.5701,0.0,0.401,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Forerunner Ventures,Forerunner Ventures,Forerunner Partners III L.P.,2016.0,Venture,US VC - Consumer,22.96957,Derived from UTIMCO capital_contributed,2.0,2012.0,"San Francisco, CA",Early stage VC — consumer,Early Stage,"Dollar Shave Club, Warby Parker, Away, Chime",UTIMCO,2023-02-28,4.3838,0.1,0.3866,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Forerunner Ventures,Forerunner Ventures,Forerunner Partners IV L.P.,2018.0,Venture,US VC - Consumer,14.337,Derived from UTIMCO capital_contributed,2.0,2012.0,"San Francisco, CA",Early stage VC — consumer,Early Stage,"Dollar Shave Club, Warby Parker, Away, Chime",UTIMCO,2023-02-28,1.9842,0.0,0.2856,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Forerunner Ventures,Forerunner Ventures,Forerunner Partners V L.P.,2020.0,Venture,US VC - Consumer,28.76499,Derived from UTIMCO capital_contributed,2.0,2012.0,"San Francisco, CA",Early stage VC — consumer,Early Stage,"Dollar Shave Club, Warby Parker, Away, Chime",UTIMCO,2023-02-28,1.0159,0.0,0.0111,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Founders Fund,Founders Fund,Founders Fund Growth I,2020.0,Growth,Growth Equity,1700.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Growth (Series C–F),,Founders Fund Firm Disclosure,2024-Q3,,,,False,FF Growth I: $1.7B 2020 growth vehicle. TVPI 1.2x — too early.,,1.2,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund Growth II,2023.0,Growth,Growth Equity,3400.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Growth (Series C–F),,Founders Fund Firm Disclosure,2024-Q3,,,,False,FF Growth II: $3.4B 2023. TVPI 1.0x — essentially first call. No performance data available.,,1.0,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund I (FFI),2005.0,Venture,Multi-Stage VC,50.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"Palantir, SpaceX, Facebook, Spotify, Airbnb",Founders Fund Firm Disclosure,2024-Q3,,7.7,0.36,True,FFI: $50M 2005 vintage. DPI 7.7x — near fully distributed. Early Palantir and SpaceX. Exceptional realization.,,7.7,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund II (FFII),2007.0,Venture,Multi-Stage VC,227.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"Palantir, SpaceX, Airbnb, Stripe, Lyft",Founders Fund Firm Disclosure,2024-Q3,,18.6,0.31,True,FFII: $227M 2007 vintage. DPI 18.6x — extraordinary. One of highest DPI figures in any public VC dataset.,,18.6,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund III (FFIII),2010.0,Venture,Multi-Stage VC,250.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Stripe, Lyft, Palantir, Stemcentrx",Founders Fund Firm Disclosure,2024-Q3,,6.0,0.25,True,"FFIII: $250M 2010. TVPI 9.9x, DPI 6.0x — still meaningful unrealized value (SpaceX). Strong realization.",,9.9,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund IV (FFIV),2011.0,Venture,Multi-Stage VC,625.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Airbnb, Stripe, Oscar Health",Founders Fund Firm Disclosure,2024-Q3,,6.2,0.33,True,FFIV: $625M 2011. DPI 6.2x — strong cash returned. Gross TVPI 10.2x shows large unrealized (SpaceX).,,10.2,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund V (FFV),2014.0,Venture,Multi-Stage VC,1100.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Lyft, Airbnb, Nubank, Stemcentrx",Founders Fund Firm Disclosure,2024-Q3,,2.9,0.27,True,FFV: $1.1B 2014. DPI 2.9x — good realization at scale. TVPI 4.0x suggests remaining upside.,,4.0,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund VI (FFVI),2017.0,Venture,Multi-Stage VC,1400.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Stripe, Anduril, Asana, Convoy",Founders Fund Firm Disclosure,2024-Q3,,0.03,0.24,True,FFVI: $1.4B 2017. TVPI 3.1x but DPI near-zero (0.03x). Classic DPI drought for 2017 vintage — paper gains.,,3.1,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund VII (FFVII),2020.0,Venture,Multi-Stage VC,1500.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Anduril, Stripe",Founders Fund Firm Disclosure,2024-Q3,,,,False,"FFVII: $1.5B 2020. TVPI 1.5x, no DPI data. Too early for meaningful IRR. Net IRR from GP source flagged unreliable (early).",,1.5,GP-Disclosed,unknown
Founders Fund,Founders Fund,Founders Fund VIII (FFVIII),2023.0,Venture,Multi-Stage VC,979.0,Confirmed,16.0,2005.0,San Francisco CA,Deep Tech | Defense | AI | Biotech | Consumer | Space,Multi-Stage,"SpaceX, Anduril",Founders Fund Firm Disclosure,2024-Q3,,,,False,FFVIII: $979M 2023. TVPI 1.3x after ~1 year. Far too early for meaningful analysis.,,1.3,GP-Disclosed,unknown
Foundry Group,Foundry Group,Foundry Group Next L.P.,2016.0,Venture,US VC - Early Stage,23.70988,Derived from UTIMCO capital_contributed,2.0,2007.0,"Boulder, CO",Early stage VC — themes-based investing,Early Stage,"Fitbit, Zynga, SendGrid, Duo Security",UTIMCO,2023-02-28,1.8837,0.14,0.1372,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Foundry Group,Foundry Group,Foundry Venture Capital 2007 L.P.,2007.0,Venture,US VC - Early Stage,39.4,Derived from UTIMCO capital_contributed,2.0,2007.0,"Boulder, CO",Early stage VC — themes-based investing,Early Stage,"Fitbit, Zynga, SendGrid, Duo Security",UTIMCO,2023-02-28,5.0834,4.92,0.4284,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,name
Foundry Group,Foundry Group,Foundry Venture Capital 2010 L.P.,2010.0,Venture,US VC - Early Stage,43.9875,Derived from UTIMCO capital_contributed,2.0,2007.0,"Boulder, CO",Early stage VC — themes-based investing,Early Stage,"Fitbit, Zynga, SendGrid, Duo Security",UTIMCO,2023-02-28,3.1413,1.11,0.1445,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,name
Foundry Group,Foundry Group,Foundry Venture Capital 2013 L.P.,2013.0,Venture,US VC - Early Stage,47.62324,Derived from UTIMCO capital_contributed,2.0,2007.0,"Boulder, CO",Early stage VC — themes-based investing,Early Stage,"Fitbit, Zynga, SendGrid, Duo Security",UTIMCO,2023-02-28,1.4112,0.08,0.0452,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,name
GGV,GGV Capital (now Notable Capital),GGV Discovery II,2018.0,Venture,Multi-Stage VC,460.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.7,0.0,0.148,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV,GGV Capital (now Notable Capital),GGV Discovery III,2020.0,Venture,Multi-Stage VC,560.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.41,0.114,0.162,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV,GGV Capital (now Notable Capital),GGV IV,2011.0,Venture,Multi-Stage VC,625.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.74,1.66,0.085,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV,GGV Capital (now Notable Capital),GGV V,2014.0,Venture,Multi-Stage VC,635.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,4.47,2.31,0.241,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV,GGV Capital (now Notable Capital),GGV VII,2018.0,Venture,Multi-Stage VC,1880.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.21,0.0,0.049,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV,GGV Capital (now Notable Capital),GGV VII Plus,2018.0,Venture,Multi-Stage VC,250.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.22,0.0,0.05,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV,GGV Capital (now Notable Capital),GGV VIII,2020.0,Venture,Multi-Stage VC,2520.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.06,0.026,0.027,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV,GGV Capital (now Notable Capital),GGV VIII Plus,2020.0,Venture,Multi-Stage VC,250.0,Estimated,9.2,2000.0,Menlo Park CA / Singapore,US | China | SEA tech | Consumer | Enterprise,Multi-Stage,"Airbnb, Slack, Square, Grab, Wish, HashiCorp",UC Regents,2024-Q2,1.05,0.0,0.024,True,Rebranded to Notable Capital in 2023 for US funds; GGV Asia separated.,,,LP-Disclosed,unknown
GGV Capital,GGV Capital,GGV Capital V L.P.,2011.0,Venture,Cross-Border VC - US/China,28.65,Derived from UTIMCO capital_contributed,,,,Cross-Border VC - US/China,Early Stage,,UTIMCO,2023-02-28,4.8236,1.75,0.2763,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
GGV Capital,GGV Capital,GGV Capital VI L.P.,2014.0,Venture,Cross-Border VC - US/China,29.7,Derived from UTIMCO capital_contributed,,,,Cross-Border VC - US/China,Early Stage,,UTIMCO,2023-02-28,1.9204,0.45,0.1474,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
GGV Capital,GGV Capital,GGV Capital VII L.P.,2016.0,Venture,Cross-Border VC - US/China,37.6,Derived from UTIMCO capital_contributed,,,,Cross-Border VC - US/China,Early Stage,,UTIMCO,2023-02-28,1.4573,0.01,0.1485,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
GGV Capital,GGV Capital,GGV Capital VIII L.P.,2018.0,Venture,Cross-Border VC - US/China,32.1,Derived from UTIMCO capital_contributed,,,,Cross-Border VC - US/China,Early Stage,,UTIMCO,2023-02-28,1.157,0.0,0.1193,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
General Catalyst,General Catalyst,"General Catalyst Group XI - Health Assurance, L.P.",2023.0,Growth,Health Assurance,750.0,Estimated,32.0,2000.0,San Francisco CA,Healthcare transformation | Digital health | AI in health,Growth (Health-focused),"Commure, Transcarent, Collective Health",CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. GC's dedicated health platform vehicle.,,,LP-Disclosed,unknown
General Catalyst,General Catalyst,"General Catalyst Group XII - Creation, L.P.",2024.0,Venture,Company Creation,1500.0,Confirmed,32.0,2000.0,San Francisco CA,Company building | AI | Defense | Climate | Health,Incubation / Seed,"Commure, new co-creation ventures",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Studio/creation strategy — distinct from traditional VC.,,,LP-Disclosed,unknown
General Catalyst,General Catalyst,"General Catalyst Group XII - Endurance, L.P.",2024.0,Growth,Growth Equity,1500.0,Estimated,32.0,2000.0,San Francisco CA,AI | Fintech | Enterprise | Climate | Defense,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. GC's growth equity arm within Fund XII.,,,LP-Disclosed,unknown
